VCR,"{'count': 65, 'cost': 164.26, 'stop': 164.26}"
VDC,"{'count': 85, 'cost': 130.34, 'stop': 70.26}"
VFH,"{'count': 160, 'cost': 71.97, 'stop': 70.26}"
VGT,"{'count': 65, 'cost': 182.02, 'stop': 173.31}"
VHT,"{'count': 70, 'cost': 158.56, 'stop': 157.3}"
VIS,"{'count': 145, 'cost': 145.52, 'stop': 76.67}"
VNQ,"{'count': 145, 'cost': 76.83, 'stop': 76.67}"
VPU,"{'count': 95, 'cost': 110.56, 'stop': 115.43}"
VBR,"{'count': 80, 'cost': 136.58, 'stop': 115.43}"
